ditto mark,〃
presence (of a god, nobleman, etc.),御前
dearie,御前さん
four-legged tray for festive food,お膳
male senior-citizen,御祖父さん
female senior citizen,御婆さん
good morning,お早う御座います
grandchild,御孫さん
I'm sorry to have kept you waiting,お待ちどう様
one's mother,お母
bless you,お大事に
you,御宅
happy birthday,御誕生日おめでとうございます
notification,御報せ
tea ceremony,御茶
sake cup,御猪口
blabbermouth,御喋り
temper,御天気
tomboy,於転婆
spiced sake,御屠蘇
disservice,御土産
hot bath,御湯
good-value,御徳
not catching anything (in fishing),御凸
old woman,お婆ん
goodnight,御疲れ様
escort,御付き
him,御父さん
to take a shower,御風呂に入る
stomach,御中
farewell,御別れ
change (in a cash transaction),御返し
wife,御母さん
mother,お母さま
young man innocent of the ways of the world,御坊っちゃん
paper with signature of the shogun or lord,御墨付き
tray,御盆
pounded mochi rice,御餅
cold boiled rice,御冷や
peeing in one's pants,お漏らし
busy (phone),御話中
bowl,御碗
to be fashionable,御洒落
somewhere,畏まりました
to grow numb with cold,悴む
sailfish,旗魚
to be upset,片口鰯
to show off,かっこ付ける
I hope that,搔っ攫う
beyond one's power,敵はない
landlady,上さん
possibly,かも知れない
expresses sympathy or warning,かも知れません
roaring with laughter,揶揄い
open-heartedly,機関
totally,からと言って
to get very mad,かんかん怒る
astute,か弱い
lottery wheel,がっちり屋
overly skinny person,がらがら蛇
with a screech,我利勉
without fail,聞かん気
constrained,急度
scrawny,段段
blazingly,ギックリ腰
noisily (chewing),限り限り
spoken twice in response to someone sneezing as a charm against an early death,嚔
to giggle,クスクス笑う
embarrassing,擽ぐったい
shove it!,擽ぐる
to get fed up with,草臥れる
boldly,梔
to become intimate,食っ付く
to get (someone) hitched,くっ付ける
to be crooked,くつくつ法師
giddy,隈無く
constantly changing,競べ
rickets,痀瘻病
ground-breaking ceremony,鍬入れ式
snoring or grumbling sound,くんくん鳴く
wild,愚図愚図
showy,けつの穴
eructation,けらけら笑う
disgusting!,げらげら笑う
to be superstitious,げんを担ぐ
uh...,斯う
if this is the case,こう言う
on the sly,こじ付ける
cat burglar,コソ泥
cover for kotatsu,火燵掛
Kodama,炬燵布団
speciality (e.g. of restaurants),拘り
to be obstructed,拘わる
this person,此方
drumming,此方
(for something) to happen on occasion,事がある
sound of cooking something on a low flame,事が出来る
entirely,尽く
possibly,事にすると
to be the reason (for),事になる
using,事によって
recently,此間
because of this,今日わ
in addition,この外
in this kind of situation,このような場合に
in the meantime,此の間
as a result,この結果
lately,此の頃
in this case,この場合
now,此度
this extent,此の辺
hey!,零し話
with this,此から
the same as this,これと同じ
it ends here,此れ迄
huddle,此れ等
bubbling,ごった返す
smoke and mirrors,胡麻化し
ashcan,塵入
thunder,芥箱
I appreciate your efforts,御苦労さま
I appreciate your efforts,御苦労さん
brothers and sisters,御兄弟
never mind,御心配なく
what a wonderful meal,御馳走様でした
caution,御注意
to allow (someone) to do,御覧下さい
floozy,させ子
indifferently,先
awful,颯っと
game-ending home run,扠置く
free-flowing (e.g. blood),曝けだす
roughly,然りげ無い
with a chill (up one's spine),様を見ろ
no more than,悄々
to cling,しがみ付く
severely,頻りに
to be fired,しくしく泣く
to be fitting,繁々
damp,執拗い
unyielding,数
oh no!,仕舞った
brisk,沁沁
to lick,噦
sushi rice,喋り
often,し易い
to piss,小便をする
despondently,小便を垂れる
white croaker,白口
to become hoarse,嗄れる
sadly,涔涔
without rushing,重吹く
restrained,凝乎と
noisily (of water gushing, pouring, spilling, splashing, spraying, etc.),じっと見る
see you tomorrow,また明日
potato (Solanum tuberosum),ジャガ芋
gritty (sand, pebbles, etc.),じゃじゃ馬
frizzling,ジャン拳
seeping out,焦らす
impatient,焦れったい
(solving) easily,ジロジロ見る
nymphomaniac,好き者
quick,啜りなく
smooth, continuous (movement),す可き
speedily and without delay,するが良い
straight,擦れ擦れ
exactly,ずばずば言う
unskilled,ずぶ濡れ
(even) just,せざるを得ない
scaphoid bone (in wrist near thumb),せん状骨
having the appearance of,其奴
if it is done in that way,そうかと言って
I hear that,然う然う
if this is not the case,そうでない場合は
you,其所
to that extent,其処いら
around there,其処ら
rash,然して
to stir up,唆る
vaguely,漫ろに
stroll,漫ろ歩き
to leave as it is,其方
uh ...,其の
in addition,其の上で
for that reason,其のため
thereafter,其後
in fact,其の実
on top of (which),其の上
in that case,その場合には
et cetera,其の外
at all such times,その都度
among others,其の内
on the other hand,其の反面
start,抑も
zephyr,微風
you,其
after that,其れから
that is all (when finished speaking),其れだけ
(and) then,其れで
or else,其れとも
instead,其れ処か
within limitations,其れ形
moreover,其れに
in addition to this,それに加えて
that much,其程
those (near the second person),其等
any more,それ以上
ever since,それ以来
impolite,其れ故に
no more than,高が
racketeer,集り
ample,たくし上げる
awkward,辿たどしい
bitterling (any fish of subfamily Acheilognathinae, esp. species Acheilognathus melanogaster),鰱
want to be,度に
yes, but ...,たん瘤
not necessarily,だからと言って
however,丈
drowning (e.g. in a sauce),丈に
goby (fish),だぼ鯊
to cheat someone out of,騙しとる
to feel listless,駄目になる
slovenly,だらし無い
pain-in-the-ass,懈い
confused,乳切り木
a little while,少と
(not) in the slightest,些とも
suffix for familiar person,小っぽけ
chankonabe,ちゃんこ鍋
sword play,ちゃんこ料理
just a minute,ちゃんばら映画
very slightly,ちょっと一杯
short mustache,ちょび髭
gidayū musicians (in kabuki),点
moving rapidly,点点
jealousy,丁髷
to whistle (kettle),ちんちん鳴る
penis,ちんどん屋
against one's better judgement (judgment),っ放し
determinedly,序に
to get,摑み取る
Meimuna opalifera (species of cicada),つくつく法師
despite,熟々
rhododendron,躑躅
to join or tie or knot together,繋ぎあわせる
nitpicking,繋ぎ目
having a pungent smell,詰まらない
trudgingly,突んのめる
extremely,梃摺る
huge boobs,跆拳道
indicates a question,出来るようになる
how about ...,と言うのは
to palpitate,と言う物
if,所が
monumental,途轍も無い
chickie,迚も
the grass is always greener on the other side of the fence,となりの芝生は青い
trudgingly,鵄
also called,とも言う
fatty cut (esp. of tuna belly),兎や角言う
very,薯蕷藷
break-even,飛んでもない
supposing that ...,と仮定して
even granted that ...,と仮定しても
as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.),と共に
it is the case that,と言う訳だ
if one were to say ...,と言えば
have said,云える
to be referred to as ...,と言われる
to be thinkable that,と考えられる
just like,と同じ様に
compared with,と比べて
how about,如何
where is ...?,如何言う
at most,どうしたら良い
remember me to,どうぞ宜しく
nothing to worry about,どうって事は無い
after a fashion,どうという事もない
practical joke,如何致しまして
such-and-such a place,何処其処
slapstick,何処でも
whither?,何方へ
(not) either,何方も
la-la,何方様
all of a sudden,何方付かず
anyone,何方でも
what kind,何の様
how much,何のくらい
sound of many footsteps,どの場合にも
stir,響動めき
c'mon,何れ
whichever,何れでも
however,泥泥
closing one's eyes (to),どん底
long thin brown "naoko" mushroom,綯い交ぜにする
making light of,等閑
paltry,無け無し
if you want to know why,何故なら
the reason why is ...,何故ならば
incomplete,憖
incomplete,憖い
the likes of ...,憖っか
what the...,何じゃそら
at any rate,何にしても
Kaempfer cicada (Platypleura kaempferi),にいにい蝉
regarding,に置いて
with regards to,に於ける
cheerful,柔やか
slimy,にして置く
wriggling, slipping and sliding,に取って
because of,に依って
to differ depending on ...,によって異なる
according to,に拠る
according to (someone),に依ると
according to (someone),に因れば
dependent on,に応じて
in addition,に加え
in addition,に加えて
goes no further than,に過ぎない
as far as ... is concerned,に関して
on the basis of,に基づいて
like,に似て
for every,に付いて
in view of,に照らして
in contrast with,に對して
with regards to,に對する
at the time of,に当たって
contrary to,に反して
compared to,に比べ
smoothly (of CGI movements, video streaming, etc.),に就き
Nozomi,螺子回し
what's more,の度に
to tumble forward,のめり込む
to turn over,の様に
to get lost,逸る
or,将又
being gaudy,傍迷惑
very shy person,含羞屋
to look shy,含羞む
to become powerful,蔓る
to make love,はめ倒す
ticket stub,半平
constantly,許
completely,許りに
to be worn out,バツ１
rustling,屎
tits,散荷
prostitute (catering to Occupation soldiers in Japan after WWII),パイ刷り
twitching,延いては
hard,緊々
in undertones,犇めき
with all one's heart,頓
quietly,直向
handbag snatcher,引っ手繰り
tingling,皸
feeling nice and cold,冷んやり
finished,ひ弱い
to twinkle,ぴかぴか光る
lightly and repeatedly jumping,ぴくぴく動く
having difficulty,ぴよぴよ鳴く
to blast over the bar,吹かす
crepe wrapper,服紗
messy,脹よか
to burst (e.g. a boil),吹っきれる
foaming,太太しい
to spill out,打ち撒ける
brusque,ぶっきら棒
to occur at the same time (as),打っ通し
persisting (of an illness),打付ける
to be entirely dependent on,ぶら下がる
to be slightly off,ぶら下げる
to be tired out,ぷりぷり怒る
easy to bend,蔕
poor hand,へばり付く
bursting into flames,へぼ医者
you idiot!,可き
swindle,べろべろ嘗める
to babble,ぺてん師
inflorescence of shiso (used as a sashimi garnish),穂紫蘇
to speak slowly and quietly,ほそぼそ話す
deeply (sigh),𩸽
almost everyone,殆どの人
moderate,程程
becoming tipsy,仄仄
flaring up,本の
plop,呆け
scratching (an itch),ぼっ手繰り
(coming to light) one after another,ぼりぼり食べる
(moving) slowly,襤褸切れ
in large drops,ぽたぽた落ちる
my, my,ぽん引き
to roll up,捲り上げる
to befuddle,間誤付かせる
vividly,間誤付く
to look (someone) full in the face,まじまじと見る
he who first suggests it should be the first to do it,まず隗より始めよ
square,真っ四角
before,迄に
not going the way one wants it to,侭ならぬ
not going the way one wants it to,侭ならない
thoroughly,忠実
sound of the cicadas,見す見す
mingming cicada,蛁蟟
being disgusted,御使い
to get worked up,向きに成る
to be taken off,剝れる
to be eager,鼺鼠
what the hell,無駄にする
to make desperate efforts,藻搔く
supposing,若し
by any chance,若しかしたら
in the event that,若しかして
excuse me! (when calling out to someone),若しかすると
haltingly,もし可能ならば
further,捩り
is that which,持てなし
to complete,物にする
welling up (of strength, courage, etc.),野衾
women's work pants,諸に
to do (esp. something one regrets),漸て
to have been doing something (for a period of time),遣って来る
by the skin of one's teeth,漸と
whore,矢っ張り
way of doing something,遣り様
managing,遣り繰り
(conversational) exchange,遣り取り
to do to completion,やり切る
means,遣り方
politely,行る
time (to spare),所縁
flickering,揺ら揺ら
nice to see you!,緩々
hoping or wishing for something,様に
to try to ...,様にする
to begin to ...,様になる
to hand over (e.g. money),遣す
if,縦んば
according to,涎
to be (doing),蹌踉めく
enumeration,列記
batik (cloth),﨟纈染め
arc (esp. electrical),陸
Ainu,アーク燈
exterior (of a building),アイヌ族
patch pocket,ＯＵＴ
accumulator,アウトライト取引
acrylic (esp. acrylic fibre, fiber),アキレス腱
agitation,アクリル酸
Asia dollar,亜細亜
regulation,アジア太平洋地域
sports,ＡＳＣＩＩ
add-on module,ＡＳＲＯＣ
email address,アドオン電話
analog speedometer,アドレス帳
ADC,アナログデジタル変換器
apartment,アナログ計算機
Afrikaans (language),アパート荒らし
friend,アフリカの角
amoeba,アミノ酸
American League,アメーバ運動
American person,アメリカ人
Arabian light,アメリカ豹
arcadia,アラビア数字
alkali,亜爾加里
alkaloid,アルカリ性
(alcohol-based) hand sanitizer,アルギン酸
artisan,アルコール依存症
alpinism,アルツハイマー病
Alphard (aka Alpha Hydra),α
tin foil,α線
entrepreneurship,アル中
ion rocket,ＡＮＤ
ionisation,イオン化
full of energy,生きがよい
Istanbul,英吉利
Islam,以色列
Muslim,イスラム教徒
-ism,イスラーム原理主義
inning,伊太利亜
catmint,犬薄荷
Iroquois,イノシン酸
instant,ＩＮ
industrial design,インスタント食品
Indian jewellery (jewelry),吋
independent,インディア紙
introduction,インディペンデントリビング運動
indoor sports,印度
Indochina,印度支那
infrastructure,印度尼西亜
invoice,インフラ開発
A minor,イ短調
wool,イ長調
widget,鳥竜茶
liqueur candy,ウィジャ板
watching,ウイック回転
uranium (U),宇克蘭
aerobic dancing,宇柳具
exhibition game,ＡＩＤＳ
ecumenism,越幾斯
ecology,厄瓜多
scallion,エコロジー運動
Egypt,埃及
best class,ｓ
SF,ＳＦ
shopping mall,ＳＭ
escort,ＳＯＳ
ester,Ｓサイズ
ethylene,ＳＴＯＬ
extract,エックス線
ethos,ｈ
enigma,ｅｔｃ．
ephedrine,ＮＧ
frequency modulation,ＦＭ
FM tuner,ＦＭチューナー
emulate,ＦＢＩ
error message,Ｍサイズ
erythromycin,エライザ法
LSD,ＬＳＤ
erbium (Er),Ｌサイズ
LP record,ＬＰレコード
engine brake,エルピー盤
engine failure,エンジン故障
enrich,エンジン発動機
oaks,ＯＬ
Austin,ＯＫ
Australia,豪太剌利
overlay (segment),墺太利
occupied,ＯＢ
oxtail,荻野式
opinion leader,牛津
object-oriented,ＯＦＦ
object-oriented,オブジェクト指向
omelet,オブジェクト指向言語
orangutang,ω
orange juice,和蘭陀
cursor,ＯＮ
credit-card loan,カーソル強調
chaos,カード会員
custom-made,加加阿
catamaran,カスタム化
catharsis,加答児
cutlet (usu. crumbed and fried),型録
Catholicism,かつ丼
cadmium (Cd),加特力
kanamycin,加奈陀
covering,金糸雀
capriccio,カバー曲
collarless,カポシ肉腫
sponge toffee,空オケ
sponge toffee,軽目焼
curry corner,咖哩
cant,カレー饂飩
country and western,カントリー＆ウェスタン
impetus,カンツリー倶楽部
Cambria (old name for Wales),寒武利亜
Cambodia,柬埔寨
gadget bag,加行
aluminum-foil burner liner,瓦斯
running out of gasoline (petrol),ガス欠
gamelan (traditional Indonesian music ensemble),ガス栓
glass block,硝子
openness to scrutiny,ガラス張り
okra,ガラス綿
gunman,γ
indexing term,ガ行
kibbutz,キー入力
cute,沈菜
asbestos dust,玖馬
Christian priest,鬼理死丹
Christ,基督
Christianity,基督教
Cyrillic,キリスト教徒
2^10,キリル文字
kilometer (mis-spelling) (kilometre),瓩
guitar,キロ米
gambling,ギター弦
Greece,希臘
Greek mythology,ギリシア神話
coupon,ギリシア文字
cool box,クーポン券
quintet,苦力
craftsman,科威都
cruise,クラフト紙
kroon (former currency of Estonia),久留子
cloning technology,クローン技術
(human) clone,クローン人間
guava,クローン動物
Grammy (award),瓦無
putting green,瓦
green boy (boxing),グリーンＰＣ
green revolution,臥児狼徳
green (car) ticket,グリーン券
group discussion,グリーン車
group heading,グループ見出し
Gregorian (calendar),グループ分離キャラクタ
casework,グレゴリオ暦
caisson method,ケーソン工法
KFC,ケーソン病
kennel,ケント紙
sudden,剣橋
guerrilla warfare,ゲリラ戦
germanium (Ge),ゲリラ兵
cordless phone,日耳曼
cornering,コードレス電話
coffee grinder,珈琲
dish containing sliced cold tongue (Kansai speciality),珈琲豆
cost-push inflation,コール天
cotton buds,コスト効率
command module,骨杯
turd,コマ割り
Colombia,哥倫比亜
conclave,コロンブスの卵
consumer-first (marketing, manufacturing, etc.),混凝土
consumer products,コンシューマ向け製品
computer utility,コンシューマ製品
CAM,コンピューター援用生産
computerisation,コンピューター援用設計
computerisation,コンピューター化
go-go dance,コンピューター用語
goal line,ＧＯサイン
goblet,蜚蠊
village garbage collection point,ゴミ集積場
condom,護謨
golf course,護謨の木
surveillance,ゴルフ場
cycle,サーボ機構
cycle hit,サイクルアンドライド方式
psychological,サイクロＣ
sign language,柴棍
sliding window frame (esp. metal),サイン曲線
sanitary napkin,察
Sahara,撒哈拉
skipping out,サハラ沙漠
sampling,サボタージュ員
sunroom,サンプリング周波数
that's right,佐行
shaddock,謝文
Zambia,躄蟹
"za" column or row of the kana syllabary,ザ行
Shia (Islam),シーア派
CIA,ＣＩＡ
sea and air system,シーアンドエア方式
seesaw policy,ＣＭ
bed sheet,シーソー遊び
CTS,ＣＴＳ
CTC,ＣＴＣ
(negotiable) certificate of deposit,ＣＤ
ceiling lamp,ＣＤＲＯＭ
shield,シーリング方式
theatre,シールド工法
cyan,舎路
cyanide,シアン化合物
sherry,シアン化物
signature,シェリー酒
sigma,ς
system,シグモイド関数
system menu,システム５
thesaurus,システム分析
Ship American policy,シゾイド人間
citron (Citrus medica),シップエア方式
changing gears,雪特尼
shift dress,シフトＪＩＳ
shift arithmetic unit,シフト演算機構
soap,西伯利
soap bubble,しゃぼん玉
chandelier,暹羅
sugar coat,三鞭酒
series,シュタイナー学校
character printer,叙利亜
serial communication,シリアル通信
singer-songwriter,シリアル伝送
symmetric,星嘉坡
G.I.,ＧＩ
genius,ＧＮＰ
jet lag,Ｇパン
gigolo,ジェット機
record jacket,ＪＩＳ
jazzercise,ジャケ写
Japonaiserie,ＪＡＳ
junior light (weight),牙買加
duralumin,寿府
jin,ジュラ紀
sweep,ジンギス汗
sway,瑞西
Swedish relay (track-and-field event),瑞典
squash (sport),スウェーデン語
skis,スカッシング関数
chairlift,スキーの板
ski area,スキー場
scanties,スキー用品
scrap,スキャンロン方式
skeleton (code),スクラップ＆ビルド
Scotch terrier,助番
steak,蘇格蘭
stepfamily,ステーキ屋
step response,ステップ応答
stockbroker,ステップ関数
Stockholm (Sweden),士篤恒
spiral,ストックホルム症候群
speed limit,スパイ行為
handbrake turn,スピード線
sprinkler,獅子女
spare rib,スプリンクラー設備
sportswriter,スペイン語
sponge rubber,スポーツ新聞
slim,スポ魂
swap meet,スリム化
save,スワヒリ語
chamois leather,セーム革
salesman,セーラー服
cel (celluloid),セールス戦略
sentimental,塞爾維
Xerox,仙
zero-order,ゼロ次
SO-NET,ゼロ地点
thong,蘇維埃
tile,蘇連
equal to the current record (in sports, etc.),タイ記録
taxi,泰国
surgical pad,タクシー乗場
dark,多行
diagram,打
download,ダイヤの指輪
dubbing,ダウ平均株価
dumb,だふ屋
damage,ダムダム弾
points scored for good measure,だめ押し
ballroom,達頼喇嘛
da Vinci,断トツ
tingling,ダ行
tip (of a ballpoint pen),ちくちく痛む
worn down (pencil, etc.),禿び
champion,窒扶斯
tuning,チャン語
chop stroke,突尼斯
flickering (e.g. on a video display),冲和
tape recorder,智利
textbook,ＴＢ
STX,テキスト開始
taff,テキスト終結
TV broadcast,第希蘭
terebinthina,ＴＶゲーム
television station,テレビ局
skyping,テレビ電話
TV tower,テレビ塔
television report,テレビ報道
terrorism,テレビ放送
terrorist attack,テロ攻撃
terrorist organisation,テロ組織
data check,テロ対策
data bank,データの先頭
datalink,データビット長
data analysis,データ解析
data exchange,データ交換
data handling,データ処理
default (setting),データ通信
derringer (pistol),デフォールト値
Denver,δ
try (rugby),丁抹
(Western) playing cards,トライ＆エラー
torque converter,トランプ狂
turquoise,土耳其
troy,トルコ風呂
trophy,トロイアの木馬
tunnel diode,ＴＲＯＮ
treble clef,ト音記号
G minor,ト短調
deutsche mark,ト長調
German (language),独乙語
German person,ドイツ人
East Germany,ドイツ民主共和国
thud,ドイツ連邦共和国
drum machine,ＤＯＳ
drink,どら息子
dollar usance,弗
dollar sign ($),ドル記号
knife ridge,ドル札
nugget (e.g. gold, chicken, fish),尼羅
backpack,ＮＡＳＡ
naphtha,ＮＡＴＯ
narrow-band,ＮＡＦＴＡ
niobium (Nb),南京
new city,尼加拉瓦
newsletter,新西蘭
newsreel,ニュース映画
New Yorker,ニュース媒体
with a smile of satisfaction,新約克
D minor,ニ短調
null,ニ長調
northwestern,双節棍
nobelium (No),ノースウェスト准州
Nobel Prize,ノーベル賞
no work no pay,ノーベル平和賞
noiseless,ＮＯＲ
Noraism,ノイマン形
Beta Centauri,諾威
happy coat,ハチ公
honeymoon,ハッブル望遠鏡
halon,河内
hunger strike,布哇
hunger strike,匈牙利
hammock,ハンセン病
C clef,ハ音記号
the "ha" column of the Japanese syllabary table (ha, hi, fu, he, ho),波行
C minor,ハ短調
biology,ハ長調
(computer) bug,バイオ素子
bathrobe,巴格達
bus stop,バス停
banana,バス発着場
vanilla,バナナの皮
baptist,撥条
bank,バベルの塔
banquet,晩香坡
rosé wine,盤谷
personal cheque,バ行
part time (esp. female part time employees),パーソナル化
pipe-line,パートタイム従業員
pipe bomb,パイプ爆弾
pound cake,パイプ役
personal (computer),巴基斯担
pattern matching,パソコン通信
pistol,パターン認識
patio,パチンコ台
panavision,破天連
parallel,巴奈馬
parallel communication,パラレル通信
parity,巴里
court shoe,パリティ変換
pastry shop,パン屋
breadcrumbs,パン屑
bread flour,パン粉
hierarchy,パ行
beam rider,ヒグス機構
beer,麦酒
beer coupon,ビール券
business school,ビール瓶
vitamin,ビジネススクール入学共通試験
bitmap,ビタミン剤
bit-wise,ビット毎
villa,ＶＩＰ
village,ビラン剤
binding,天鵝絨
kickback,ＰＲ
to know intuitively,ぴんと来る
point (of a discussion, e.g. on-point, off-point),ピン撥ね
filename,ピントが外れる
fuzzy logic,ファイル分離キャラクタ
fuck,ファジィ理論
fashion model,ＦＡＸ
filibuster,ファッション雑誌
fingering,比律賓
fortune,芬蘭土
adaptability,Ｆｏｒｔｒａｎ
breadstick,弗素
fringe,フランス語
full time,フリント硝子
wooden flooring,フルタイム従業員
Boolean,フロー制御
V-turn,ブーリアン関数
VTOL,ＶＴＯＬ
butane,Ｖネック
brown,ブチ殺す
brassiere,ブラウン管
Blue Ribbon (Prize),伯剌西爾
breakdancing,勃牙利
blockbuster,ブレーク信号
bond,ブロック番号
positive (test result),風太郎
plastic model,＋α
printer,プラスチック爆弾
(computer) printing,プリンター設定
PD,プリント基盤
processed cheese,プログラム言語
propeller,プロセス制御
header (on a document, email, etc.),プロペラ機
hen party,ヘッディング開始
bass clef,ヘ音記号
F minor,ヘ短調
kiss,ヘ長調
vector,β
vector space,ベクトル空間
vest,ベクトル値
best dresser,ベスト８
old hand,ベスト４
Vietnam,越南
Vietnamese (person),ベトナム人
plywood,ベトナム戦争
bel canto,ベニヤ板
velours,白耳義
vending machine,弁柄
pathos,頁
pale,ｐＨ
Petri-net,划竜
peril point,ペトリ皿
Peru,秘露
Farsi,ペルシア語
paint,ペルシア人
penholder grip,ペンキ塗り立て
Honduras,ペン先
E minor,ホ短調
ball-point pen,ホ長調
boxing,ボール盤
Bosnia-Herzegovina,ボクシングの試合
shoestring necktie,釦
Poland,波蘭
positron,ポーランド語
Polaroid camera,ＰＯＳシステム
polka dot,ポラロイド写真
Portugal,葡萄牙
marketing research,ポルトガル語
marketing tactic,マーケティング策略
microreader,マーケティング戦略
person who uses airlines' mileage services, frequent-flyer points, etc.,マイクロ波
white mushroom,哩
manuscript,燐寸
Marxism,馬尼剌
mark (currency),馬克
Markov process,マルコフ過程
malt,マルコフ遷移
Malaysia,馬来西亜
man watching,マレック病
mangrove,満俺
mammon,芒果
means test,麻行
micron,木乃伊
MIG,ＭｉＧ
missile,弥撒
(guided) missile destroyer,ミサイル駆逐艦
middle management,ミサイル防衛
millibar,ミドル級
mL,粍
mussels,ミリ波
Thai boxing,ムール貝
person who creates things,貉
mate,メーカー希望価格
mail-reader,米突
megalopolis,メール交換
surgical knife,墨西哥
message,メスを入れる
media research,メッセージＩｄ
Maryland,メディア王
momentum,メリケン粉
mosque,モーメント項
modem,莫斯科
mono-fluorine,モデムの設定
(human) guinea pig,弗化物
Monte Carlo (Monaco),摩洛哥
Monroe effect,モンテカルロ法
lamenting,碼
yugenism,夜行
used car,ユーコン准州
utopia,Ｕターン
euphemism,ＵＦＯ
Utah,Ｕボート
Jews,猶太
synagogue,ユダヤ教会堂
unisex,ユダヤ人
unit load,ＵＮＩＣＥＦ
yodel,ユニット分離キャラクタ
tincture of iodine,沃度丁幾
rural and urban,欧羅巴
ramen,老麺
line-feed (character),辣油
round robin,ライン川
latex,羅宇
Latin-American rhythm,羅典
label (i.e. record label),羅典語
lambskin,ラベル付け
LL,λ
rumble seat,ランゲルハンス島
Giardia lamblia (parasite that causes giardiasis),ランブル鞭毛虫
run length,ランブル鞭毛虫症
leadership,良行
leadership position,リーダーシップ的地位
list broker,リーダー交代
listening room,リストラ策
litmus,ＬＩＳＰ
little,リトマス試験紙
linoleic,リトル東京
liberal,リノール酸
revolving loan,利比利亜
ribbon stripe,リボルビング払い
linen,リボ払い
limbo dance,淋巴
rural,燐酸
record (data structure),ルーラル地域
record holder,レコードの溝
record shop,レコード屋
cashier,レコード分離キャラクタ
Legionella pneumophila (bacteria that causes Legionnaires' disease),レジオネラ菌
glass vessel used for distillation (now largely obs.),レジオネラ症
liver,レトルト食品
lemonade,黎巴嫩
low-cut dress,檸檬
loam,羅馬字
lawrencium (Lr),ローム層
rocket launcher,ローロー船
rosary,ロケット発射筒
Russia,魯
Russian (language),ロシア語
figurehead,ロシア文字
robot vision,ロボットの視覚
romantic,ロボット工学
rondo,ＲＯＭ
loneliness,倫敦
B minor,ロ短調
workload,ロ長調
word processor,ワーク取り付け台
World Series (baseball),ワープロ馬鹿
cart sale,Ｙシャツ
warrant,華盛頓
volume,１
pion,π中間子
beta-carotene,β-カロチン
zinc (Zn),亜鉛
galvanised,亜鉛引
flowers of zinc,亜鉛華
photoengraving,亜鉛凸版
zinc sheet,亜鉛板
zinc etching,亜鉛版
zinc dust,亜鉛末
Eurasia,亜欧
subtemperate zone,亜温帯
