ditto,同断
game-ending,扠置く
run,航路
game-ending home run,扠置く
free-flowing,曝けだす
blood,血液
free-flowing (e.g. blood),曝けだす
roughly,然りげ無い
chill,様を見ろ
spine,様を見ろ
with a chill (up one's spine),様を見ろ
no more than,高高
cling,しがみ付く
to cling,しがみ付く
severely,頻りに
fired,しくしく泣く
to be fired,しくしく泣く
fitting,似付かわしい
to be fitting,繁々
damp,執拗い
unyielding,数
oh,仕舞った
no!,仕舞った
oh no!,仕舞った
brisk,活溌
lick,噦
to lick,舐ぶる
sushi,喋り
sushi rice,鮓飯
piss,小便をする
to piss,小便をする
despondently,小便を垂れる
white,白色
croaker,白口
white croaker,白口
hoarse,箆太い
to become hoarse,嗄れる
sadly,涔涔
rushing,重吹く
without rushing,重吹く
restrained,奥床しい
water, pouring
gushing, pouring
noisily (of water gushing, pouring
see,また明日
tomorrow,また明日
see you tomorrow,また明日
potato,ジャガ芋
Solanum,ジャガ芋
tuberosum,ジャガ芋
potato (Solanum tuberosum),ジャガ芋
gritty, pebbles
sand,真砂
gritty (sand, pebbles
frizzling,ジャン拳
seeping,焦らす
out,焦らす
seeping out,焦らす
impatient,気が短い
solving,ジロジロ見る
(solving) easily,ジロジロ見る
nymphomaniac,好き者
quick,鋭い
smooth,快調
speedily,するが良い
delay,滞り
speedily and without delay,するが良い
straight,擦れ擦れ
exactly,直
unskilled,未熟
even,水平
just,ご尤も
(even) just,せざるを得ない
scaphoid,せん状骨
bone,せん状骨
wrist,腕首
near,せん状骨
thumb,せん状骨
scaphoid bone (in wrist near thumb),せん状骨
having,其奴
appearance,骨柄
having the appearance of,其奴
done,そうかと言って
way,仕口
if it is done in that way,そうかと言って
hear,然う然う
I hear that,然う然う
if this is not the case,そうでない場合は
to that extent,其処いら
around,見当
there, there
around there,其処ら
stir,響動めき
to stir up,唆る
vaguely,何処と無く
stroll,逍遙
leave,有給休暇
to leave as it is,其方
uh,其の
...,其の
uh ...,其の
for that reason,仍て
thereafter,而後
fact,其の実
in fact,其の実
which,其の上
on top of (which),其の上
in that case,と来たら
et,其の外
cetera,其の外
et cetera,其の外
such,その都度
times,次
at all such times,その都度
among,其の内
others,他者
among others,取りわけ
other,其の反面
hand,工手
on the other hand,反面に
start,劈頭
zephyr,微風
after,已後
after that,引続き
when,際して
finished,ひ弱い
speaking,其れだけ
that is all (when finished speaking),其れだけ
then,扠
(and) then,其れで
else,其れとも
or else,其れとも
instead,其れ処か
within,其れ形
limitations,其れ形
within limitations,其れ形
moreover,且又
in addition to this,それに加えて
much,大部
that much,其程
those,其等
second,二つ目
those (near the second person),其等
any,それ以上
any more,それ以上
ever,苟も
since,今以て
ever since,それ以来
impolite,其れ故に
racketeer,破落戸
ample,豊富
awkward,房々した
bitterling, esp. species Acheilognathus melanogaster)
fish,魚
subfamily,亜科
Acheilognathinae, esp. species Acheilognathus melanogaster)
bitterling (any fish of subfamily Acheilognathinae, esp. species Acheilognathus melanogaster)
want,貧困
want to be,度に
yes, but ...
necessarily,勢
not necessarily,だからと言って
however,泥泥
drowning,溺水
drowning (e.g. in a sauce),丈に
goby,だぼ鯊
goby (fish),だぼ鯊
cheat,騙しとる
to cheat someone out of,騙しとる
feel,佇い
listless,気懈い
to feel listless,駄目になる
slovenly,だらし無い
pain-in-the-ass,懈い
confused,乳切り木
little,リトマス試験紙
while,期内
a little while,少と
slightest,些とも
(not) in the slightest,少しも
suffix,接尾辞
suffix for familiar person,小っぽけ
chankonabe,ちゃんこ鍋
sword,段平
play,弛み
sword play,ちゃんこ料理
minute,こと細か
just a minute,ちゃんばら映画
slightly,ちょっと一杯
very slightly,ちょっと一杯
short,遊撃手
mustache,口鬚
short mustache,ちょび髭
gidayū,点
musicians,点
kabuki,歌舞妓
gidayū musicians (in kabuki),点
moving,動顚
rapidly,点点
moving rapidly,点点
jealousy,猜疑心
whistle,笛
kettle,湯沸
to whistle (kettle),ちんちん鳴る
penis,魔羅
judgement,判断
judgment,鑑査
against one's better judgement (judgment),っ放し
determinedly,一向に
to get,もって来る
Meimuna,つくつく法師
opalifera,つくつく法師
species,つくつく法師
cicada,虚蝉
Meimuna opalifera (species of cicada),つくつく法師
despite,熟々
rhododendron,石楠花
join,繋ぎあわせる
tie,持ち
knot,結び目
together,一処
to join or tie or knot together,繋ぎあわせる
nitpicking,繋ぎ目
pungent,詰まらない
smell,薫
having a pungent smell,詰まらない
trudgingly,鵄
extremely,滅茶滅茶
boobs,跆拳道
huge boobs,巨乳
indicates,出来るようになる
question,設問
indicates a question,出来るようになる
how,何ゆえ
about,恰好
how about ...,と言うのは
palpitate,と言う物
to palpitate,と言う物
monumental,途轍も無い
chickie,迚も
grass,牧草
always,毎毎
greener,となりの芝生は青い
fence,屏
the grass is always greener on the other side of the fence,となりの芝生は青い
also,とも言う
called,とも言う
also called,とも言う
fatty,脂肪質
cut,別け前
tuna,兎や角言う
belly,兎や角言う
fatty cut (esp. of tuna belly),兎や角言う
break-even,飛んでもない
supposing,若しも
supposing that ...,と仮定して
granted,と仮定しても
even granted that ...,と仮定しても
X, then Y (e.g. as we age we gain wisdom
as X, then Y (e.g. as we age we gain wisdom
it is the case that,と言う訳だ
one,人
were,と言えば
say,と言えば
if one were to say ...,と言えば
said,云える
have said,云える
referred,と言われる
to be referred to as ...,と言われる
thinkable,と考えられる
to be thinkable that,と考えられる
like,闇い
just like,丸で
compared,と比べて
compared with,と比べて
how about,如何
where,奈辺
...?,如何言う
where is ...?,如何言う
most,どうしたら良い
at most,どうしたら良い
remember,銘記
remember me to,どうぞ宜しく
nothing,水沫
worry,物案じ
nothing to worry about,どうって事は無い
fashion,好尚
after a fashion,一と先ず
practical,技術的
joke,冗談口
practical joke,如何致しまして
such-and-such,何処其処
place,土地
such-and-such a place,何処其処
slapstick,何処でも
whither?,何方へ
either,何方も
(not) either,何方も
la-la,何方様
sudden,率爾
all of a sudden,突如
anyone,何方でも
what kind,何の様
how much,何の辺
many,壱百萬
footsteps,靴音
sound of many footsteps,どの場合にも
c'mon,何れ何れ
whichever,孰れ
closing,終期
eyes,眼付
closing one's eyes (to),どん底
long,綯い交ぜにする
thin, bordered mat
brown,ブチ殺す
"naoko",綯い交ぜにする
mushroom,菌
long thin brown "naoko" mushroom,綯い交ぜにする
making,等閑
light,灯火
making light of,等閑
paltry,無け無し
why,何故なら
if you want to know why,何故なら
the reason why is ...,何故ならば
incomplete,遣りっ放し
likes,憖っか
the likes of ...,憖っか
the...,何じゃそら
what the...,何じゃそら
rate,何にしても
at any rate,何にしても
Kaempfer,にいにい蝉
Platypleura,にいにい蝉
kaempferi,にいにい蝉
Kaempfer cicada (Platypleura kaempferi),にいにい蝉
regarding,に置いて
regards,に於ける
with regards to,に對する
cheerful,賑やか
slimy,にして置く
wriggling, slipping and sliding
because of,間
differ,によって異なる
depending,によって異なる
to differ depending on ...,によって異なる
according,に拠る
according to,別
according to (someone),に因れば
dependent,に応じて
dependent on,に応じて
goes,に過ぎない
further,捩り
goes no further than,に過ぎない
far,に関して
concerned,に関して
as far as ... is concerned,に関して
basis,原拠
on the basis of,に基づいて
for every,に付いて
view,光景
in view of,に照らして
contrast,に對して
in contrast with,に對して
time,暦日
at the time of,に当たって
contrary,裏腹
contrary to,に反して
compared to,に比べ
smoothly, video streaming
CGI, video streaming
movements,動勢
smoothly (of CGI movements, video streaming
Nozomi,螺子回し
what's,の度に
what's more,の度に
tumble,のめり込む
forward,のめり込む
to tumble forward,のめり込む
turn,の様に
over,餘り
to turn over,寝返る
lost,逸る
to get lost,逸る
gaudy,派手
being gaudy,傍迷惑
shy,含羞屋
very shy person,含羞屋
look,見端
to look shy,含羞む
powerful,強大
to become powerful,蔓る
make,製
love,愛しみ
to make love,はめ倒す
ticket,切符売場
stub,票
ticket stub,半平
completely,無下に
worn,バツ１
to be worn out,バツ１
rustling,屎
tits,散荷
prostitute,醜業婦
catering,パイ刷り
Occupation,パイ刷り
soldiers,軍士
Japan,八島
WWII,パイ刷り
prostitute (catering to Occupation soldiers in Japan after WWII),パイ刷り
twitching,延いては
hard,難い
undertones,犇めき
in undertones,犇めき
heart,まん中
with all one's heart,心を籠めて
quietly,無事に
handbag,引っ手繰り
snatcher,引っ手繰り
handbag snatcher,引っ手繰り
tingling,ダ行
feeling,肌合
nice,深切
feeling nice and cold,冷んやり
twinkle,煌めき
to twinkle,ぴかぴか光る
lightly,ぴくぴく動く
repeatedly,重ねて
jumping,ぴくぴく動く
lightly and repeatedly jumping,ぴくぴく動く
difficulty,問題
having difficulty,ぴよぴよ鳴く
blast,突風
bar,吹かす
to blast over the bar,吹かす
wrapper,服紗
crepe wrapper,服紗
messy,猥雑
burst,劈
boil,疽腫
to burst (e.g. a boil),吹っきれる
foaming,発泡
spill,溢流
to spill out,打ち撒ける
brusque,武骨
occur,打っ通し
to occur at the same time (as),打っ通し
persisting,打付ける
illness,病
persisting (of an illness),打付ける
to be entirely dependent on,ぶら下がる
to be slightly off,ぶら下げる
tired,ぷりぷり怒る
to be tired out,ぷりぷり怒る
easy,生やさしい
bend,曲り
easy to bend,蔕
poor,空下手
poor hand,へばり付く
bursting,さく裂
into,へぼ医者
flames,へぼ医者
bursting into flames,へぼ医者
idiot!,可き
you idiot!,可き
swindle,詐取
babble,ぺてん師
to babble,ぺてん師
inflorescence,花序
shiso,穂紫蘇
sashimi,穂紫蘇
inflorescence of shiso (used as a sashimi garnish),穂紫蘇
speak,ほそぼそ話す
slowly,遅く
to speak slowly and quietly,ほそぼそ話す
deeply,𩸽
sigh,溜め息
deeply (sigh),𩸽
almost,彼此
everyone,皆々様
almost everyone,殆どの人
moderate,大てい
becoming,似合しい
tipsy,仄仄
becoming tipsy,仄仄
flaring,本の
flaring up,本の
plop,呆け
scratching,ぼっ手繰り
itch,ぼっ手繰り
scratching (an itch),ぼっ手繰り
another,ぼりぼり食べる
(coming to light) one after another,ぼりぼり食べる
(moving) slowly,襤褸切れ
drops,ぽたぽた落ちる
in large drops,ぽたぽた落ちる
my, my
roll,捲り上げる
to roll up,捲り上げる
befuddle,間誤付かせる
to befuddle,間誤付かせる
vividly,間誤付く
full,満杯
face,面持
to look (someone) full in the face,まじまじと見る
he,まず隗より始めよ
who,誰
first,随一
suggests,まず隗より始めよ
should,まず隗より始めよ
he who first suggests it should be the first to do it,まず隗より始めよ
square,相こ
going,侭ならぬ
wants,慾
not going the way one wants it to,侭ならない
thoroughly,余す所無く
cicadas,見す見す
sound of the cicadas,見す見す
mingming,蛁蟟
mingming cicada,蛁蟟
disgusted,御使い
being disgusted,御使い
worked,向きに成る
to get worked up,向きに成る
taken,剝れる
to be taken off,剝ける
eager,躍起
to be eager,鼺鼠
hell,冥府
what the hell,無駄にする
desperate,焼糞
to make desperate efforts,藻搔く
by,若しかしたら
chance,回り合せ
by any chance,若しかしたら
event,日
in the event that,若しかして
excuse,辞柄
me!,若しかすると
calling,天生
excuse me! (when calling out to someone),若しかすると
haltingly,もし可能ならば
is that which,持てなし
complete,徹底的
to complete,締め括りをつける
welling, courage
strength,特長
welling up (of strength, courage
women's,諸に
women's work pants,諸に
regrets,漸て
to do (esp. something one regrets),漸て
been,遣って来る
doing,遣って来る
period,御世
to have been doing something (for a period of time),遣って来る
skin,皮フ
teeth,漸と
by the skin of one's teeth,漸と
whore,矢っ張り
way of doing something,遣り様
managing,抜差し
conversational,遣り取り
exchange,取替
(conversational) exchange,遣り取り
completion,結了
to do to completion,やり切る
means,方途
politely,行る
spare,予備装置
time (to spare),所縁
flickering,点滅
nice to see you!,緩々
hoping,様に
wishing,様に
hoping or wishing for something,様に
try,味噌
to try to ...,様にする
begin,様になる
to begin to ...,創める
to hand over (e.g. money),遣す
to be (doing),蹌踉めく
enumeration,枚挙
batik,﨟纈染め
cloth,﨟纈染め
batik (cloth),﨟纈染め
arc,円弧
electrical,陸
arc (esp. electrical),陸
Ainu,アーク燈
exterior,上面
building,築造
exterior (of a building),アイヌ族
patch,ＯＵＴ
pocket,物入れ
patch pocket,ＯＵＴ
accumulator,アウトライト取引
acrylic, fiber)
fibre, fiber)
acrylic (esp. acrylic fibre, fiber)
agitation,アクリル酸
Asia, Africa
dollar,亜細亜
Asia dollar,亜細亜
regulation,憲法
sports,遊戯
add-on,ＡＳＲＯＣ
module,ＡＳＲＯＣ
add-on module,ＡＳＲＯＣ
email,アドオン電話
address,番地
email address,アドオン電話
analog,アドレス帳
speedometer,速度計
analog speedometer,アドレス帳
ADC,アナログデジタル変換器
apartment,アナログ計算機
Afrikaans,アパート荒らし
language,口詞
Afrikaans (language),アパート荒らし
friend,知る辺
amoeba,アミノ酸
American,アメーバ運動
League,アメーバ運動
American League,アメーバ運動
American person,米国人
Arabian,アメリカ豹
Arabian light,アメリカ豹
arcadia,アラビア数字
alkali,亜爾加里
alkaloid,アルカリ性
alcohol-based,アルギン酸
sanitizer,アルギン酸
(alcohol-based) hand sanitizer,アルギン酸
artisan,工人
alpinism,アルツハイマー病
Alphard,α
aka,α
Alpha,α
Hydra,α
Alphard (aka Alpha Hydra),α
tin,α線
foil,α線
tin foil,α線
entrepreneurship,アル中
ion,ＡＮＤ
rocket,ロケット弾
ion rocket,ＡＮＤ
ionisation,イオン化
energy,勢力
full of energy,生きのよい
Istanbul,英吉利
Islam,イスラーム教
Muslim,回教徒
-ism,主義
inning,伊太利亜
catmint,犬薄荷
Iroquois,イノシン酸
instant,片時
industrial,インスタント食品
design,紋様
industrial design,工業意匠
Indian,吋
jewellery,吋
jewelry,吋
Indian jewellery (jewelry),吋
independent,インディア紙
introduction,序奏
indoor,印度
indoor sports,印度
Indochina,印度支那
infrastructure,印度尼西亜
invoice,インフラ開発
A,イ短調
minor,軽やか
A minor,イ短調
wool,羊毛
widget,鳥竜茶
liqueur,ウィジャ板
candy,あめ玉
liqueur candy,ウィジャ板
watching,御覧
uranium,宇克蘭
U,宇克蘭
uranium (U),宇克蘭
aerobic,宇柳具
dancing,舞踏
aerobic dancing,宇柳具
exhibition,博
game,ＡＩＤＳ
exhibition game,ＡＩＤＳ
ecumenism,越幾斯
ecology,生態学
scallion,エコロジー運動
Egypt,埃及
best,最上
class,ｓ
best class,ｓ
SF,ＳＦ
shopping,ＳＭ
mall,ＳＭ
shopping mall,ＳＭ
ester,Ｓサイズ
ethylene,ＳＴＯＬ
extract,エックス線
ethos,気風
enigma,謎謎
ephedrine,ＮＧ
frequency,頻度数
modulation,変調
frequency modulation,ＦＭ
FM,周波変調
tuner,ＦＭチューナー
FM tuner,ＦＭチューナー
emulate,ＦＢＩ
error,後逸
message,諭示
error message,Ｍサイズ
erythromycin,エライザ法
LSD,ＬＳＤ
erbium,Ｌサイズ
Er,Ｌサイズ
erbium (Er),Ｌサイズ
LP,ＬＰレコード
record,登録
LP record,ＬＰレコード
engine,發動機
brake,制動機
engine brake,エルピー盤
failure,落後者
engine failure,エンジン故障
enrich,エンジン発動機
oaks,ＯＬ
Austin,ＯＫ
Australia,濠洲
overlay,墺太利
segment,墺太利
overlay (segment),墺太利
occupied,ＯＢ
oxtail,荻野式
opinion,所信
leader,頭分
opinion leader,牛津
object-oriented,オブジェクト指向
omelet,オブジェクト指向言語
orangutang,ω
orange,焔色
juice,汁液
orange juice,和蘭陀
cursor,ＯＮ
credit-card,カーソル強調
loan,融資
credit-card loan,カーソル強調
chaos,乱脈
custom-made,加加阿
catamaran,カスタム化
catharsis,加答児
cutlet,型録
usu.,型録
crumbed,型録
fried,型録
cutlet (usu. crumbed and fried),型録
Catholicism,かつ丼
cadmium,加特力
Cd,加特力
cadmium (Cd),加特力
kanamycin,加奈陀
covering,包含
capriccio,狂想曲
collarless,カポシ肉腫
sponge,海綿
toffee,有平糖
sponge toffee,軽目焼
curry,咖哩
corner,側辺
curry corner,咖哩
cant,カレー饂飩
country,邦土
western,カントリー＆ウェスタン
country and western,カントリー＆ウェスタン
impetus,拍車
Cambria,寒武利亜
name,二字
Wales,寒武利亜
Cambria (old name for Wales),寒武利亜
Cambodia,柬埔寨
gadget,珍道具
bag,加行
gadget bag,加行
aluminum-foil,瓦斯
burner,瓦斯
liner,瓦斯
aluminum-foil burner liner,瓦斯
running,作動
gasoline,ガス欠
petrol,ガス欠
running out of gasoline (petrol),ガス欠
gamelan,ガス栓
traditional,歴史的
Indonesian,ガス栓
music,管絃
ensemble,ガス栓
gamelan (traditional Indonesian music ensemble),ガス栓
glass,頗梨
block,硝子
glass block,硝子
openness,裸
scrutiny,熟覧
openness to scrutiny,ガラス張り
okra,ガラス綿
gunman,γ
indexing,ガ行
term,年限
indexing term,ガ行
kibbutz,キー入力
cute,まん丸
asbestos,石綿
dust,粉じん
asbestos dust,玖馬
Christian,鬼理死丹
priest,貴僧
